"Date","Max_price","Iteration_Max","Min_price","Iteration_Min","Mean_price"
2019,27.796462,"Run1",27.796462,"Run1",27.796462
2020,28.422192,"Run1",28.422192,"Run1",28.422192
2021,63.0420184,"Run1",63.0420184,"Run1",63.0420184
2022,85.2784371,"Run1",85.2784371,"Run1",85.2784371
2023,105.552813,"Run5560",89.58335273,"Run5560",97.020193515981
2024,117.597285,"Run8392",84.21964316,"Run8392",100.525370377479
2025,130.4782013,"Run8392",84.94612809,"Run8392",104.619057405121
2026,145.8882808,"Run407",82.89371667,"Run407",108.900034154694
2027,155.7505522,"Run407",83.58149747,"Run407",113.323548537964
2028,166.4039165,"Run407",83.71715541,"Run407",117.92725824877
2029,176.3725508,"Run407",83.59226939,"Run407",122.695511138584
2030,183.7057,"Run7281",84.24700091,"Run7281",127.717381994498
2031,196.5958283,"Run1752",84.3524249,"Run1752",132.919052832807
2032,215.4112218,"Run1752",86.25389381,"Run1752",138.275275220388
2033,230.7690771,"Run1504",86.79615205,"Run1504",143.900508537261
2034,256.3097435,"Run1504",92.39241428,"Run1504",149.761599928801
2035,268.660698,"Run1504",91.2533458,"Run1504",155.877180045405
2036,276.3476503,"Run1504",97.59483251,"Run1504",162.201510490959
2037,290.5979484,"Run1504",99.22324834,"Run1504",168.688408500264
2038,326.9519088,"Run9969",100.1353403,"Run9969",175.53729433641
2039,366.2951721,"Run9969",102.9017749,"Run9969",182.75474406299
2040,379.6791277,"Run9969",106.4426222,"Run9969",190.17336804651
2041,374.4389003,"Run9969",107.2477222,"Run9969",197.96107783153
2042,380.1353699,"Run9969",110.5883193,"Run9969",206.09653598467
2043,420.436103,"Run6425",109.5635653,"Run6425",214.54723077454
2044,433.4150322,"Run6425",112.9531186,"Run6425",223.31877856788
2045,459.3683485,"Run9969",112.227034,"Run9969",232.46535832571
2046,509.4495121,"Run8011",121.5026538,"Run8011",241.75894670857
2047,529.8141675,"Run8011",124.8435588,"Run8011",251.5460972427
2048,558.9274793,"Run8011",130.2934495,"Run8011",261.8977551158
2049,573.255855,"Run5400",130.7779672,"Run5400",272.68955850469
2050,583.9874509,"Run9969",134.0691885,"Run9969",283.90696694479
2051,580.4856773,"Run9969",132.0409716,"Run9969",295.44728994055
2052,641.0843382,"Run8049",137.2961435,"Run8049",307.45586711692
2053,675.4730828,"Run8049",136.8064693,"Run8049",319.93764135594
2054,705.957937,"Run8049",146.2187079,"Run8049",332.9561378193
2055,769.2418975,"Run8049",147.0025962,"Run8049",346.3198771237
2056,797.6156121,"Run8049",148.498622,"Run8049",360.34875250692
2057,829.1781032,"Run8049",154.8395733,"Run8049",375.01659080844
2058,883.4050586,"Run8049",163.821771,"Run8049",390.49243286343
2059,913.4337497,"Run8049",166.0656797,"Run8049",406.47985803814
2060,939.7979696,"Run5420",169.3429624,"Run5420",423.19586938848
2061,991.0193007,"Run2808",175.3548155,"Run2808",440.62774112843
2062,1100.050311,"Run2808",186.0379531,"Run2808",458.87746641275
2063,1125.422365,"Run2808",190.7745981,"Run2808",477.53342944007
2064,1130.321708,"Run8624",194.7764479,"Run8624",496.87928421407
2065,1231.689076,"Run8011",207.6770452,"Run8011",517.06604474813
2066,1330.393939,"Run8011",204.0070794,"Run8011",538.40094455387
2067,1321.607232,"Run8011",207.5465393,"Run8011",560.33439065192
2068,1427.595212,"Run7279",212.5153042,"Run7279",583.25915780665
2069,1493.001817,"Run8601",207.29904,"Run8601",607.32373460709
2070,1595.478833,"Run2566",207.7898307,"Run2566",632.39533585163
2071,1721.839287,"Run8601",212.3056057,"Run8601",658.16196745054
2072,1828.193183,"Run8601",216.3213134,"Run8601",684.82186695813
2073,1835.360764,"Run53",227.991969,"Run53",712.87108050676
2074,1913.348259,"Run53",231.6258279,"Run53",742.41902436471
2075,1927.973632,"Run8624",243.5712304,"Run8624",772.93464159579
2076,2084.962174,"Run1469",237.3890648,"Run1469",804.57392450704
2077,2188.071637,"Run1469",253.8372237,"Run1469",837.13134177457
2078,2410.061108,"Run1469",261.1653746,"Run1469",870.93311073866
2079,2610.472229,"Run1469",251.0726237,"Run1469",906.31134819209
2080,2757.946666,"Run1469",251.5125733,"Run1469",943.28244302742
2081,2955.86091,"Run1469",262.3077774,"Run1469",981.83453144645
2082,3149.050237,"Run1469",275.5451658,"Run1469",1021.81622636433
2083,3393.830477,"Run1469",287.2239196,"Run1469",1063.52375111103
2084,3572.687696,"Run1469",276.9475151,"Run1469",1107.16082274119
2085,3551.477894,"Run1469",289.3393459,"Run1469",1152.3901933494
2086,3566.692361,"Run1469",313.7016123,"Run1469",1199.1742156516
2087,3718.694795,"Run8049",331.5566631,"Run8049",1247.84157907977
2088,3941.837263,"Run8049",321.5894137,"Run8049",1299.27584917906
2089,4130.765589,"Run1469",347.355308,"Run1469",1352.78893329975
2090,4351.545658,"Run7279",358.8736261,"Run7279",1407.74646446491
2091,4554.440244,"Run8049",364.9683712,"Run8049",1465.74694055658
2092,4919.49614,"Run7279",404.5206714,"Run7279",1525.63505672422
2093,5298.707436,"Run7279",446.799828,"Run7279",1586.82582940885
2094,5409.973726,"Run7279",460.6528273,"Run7279",1651.18616932131
2095,5790.17908,"Run9148",471.2810719,"Run9148",1718.41129489016
2096,5995.423011,"Run7279",486.3279434,"Run7279",1789.00319678427
2097,6078.017487,"Run1469",476.2508216,"Run1469",1861.6709679109
2098,6324.475494,"Run8049",479.1314527,"Run8049",1938.033370018
2099,6639.705635,"Run8992",508.6142061,"Run8992",2017.6389196182
2100,7103.382903,"Run8992",522.9584731,"Run8992",2095.72597656963
