Year,Carbon Price
2019,27.796462
2020,28.422192
2021,63.0420184
2022,85.2784371
2023,97.24980941
2024,98.73613808
2025,99.91575697
2026,102.0467345
2027,105.435381
2028,114.2619795
2029,119.7882015
2030,127.6696613
2031,133.9383133
2032,148.2567935
2033,152.5624652
2034,160.7962635
2035,165.5342631
2036,171.1369791
2037,175.8765534
2038,191.6615374
2039,206.5067176
2040,215.634652
2041,213.1193056
2042,221.5475191
2043,233.5395745
2044,255.4159481
2045,278.2702743
2046,286.3664613
2047,282.9946003
2048,296.6809041
2049,325.2539235
2050,317.9881951
