Year,Scenario,Fuel Demand Scenario,API,SUL,Electricity,Heat,Steam,Hydrogen via SMR,Hydrogen via CNR,Other Emissions,Total refinery processes 
2019,LOW,High Fuel Demand,HEAVY,SOUR,3.333615134,19.43860742,1.059632087,6.097122908,0,4.70716298,34.63614053
2019,MEDIUM,Medium Fuel Demand,HEAVY,SOUR,3.333615134,19.43860742,1.059632087,6.097122908,0,4.70716298,34.63614053
2019,HIGH,Low Fuel Demand,HEAVY,SOUR,3.333615134,19.43860742,1.059632087,6.097122908,0,4.70716298,34.63614053
2035,LOW,High Fuel Demand,HEAVY,SOUR,3.489252658,22.35167016,1.417135707,3.608780734,0,4.744227936,35.6110672
2035,MEDIUM,Medium Fuel Demand,HEAVY,SOUR,3.428536421,21.42144142,1.417077668,3.905817647,0,4.74847619,34.92134934
2035,HIGH,Low Fuel Demand,HEAVY,SOUR,3.430147216,22.20574886,1.369611208,2.857282224,0,4.476871293,34.3396608
2050,LOW,High Fuel Demand,HEAVY,SOUR,3.523951569,22.11932463,1.144826767,3.526392231,0,5.256472253,35.57096746
2050,MEDIUM,Medium Fuel Demand,HEAVY,SOUR,3.503468213,21.66536911,1.096043469,3.749914972,0,4.46917932,34.48397509
2050,HIGH,Low Fuel Demand,HEAVY,SOUR,3.499199753,21.47047463,1.091226991,4.068832774,0,4.600221297,34.72995545
2019,LOW,High Fuel Demand,LIGHT,SWEET,3.333615134,19.43860742,1.059632087,6.097122908,0,4.70716298,34.63614053
2019,MEDIUM,Medium Fuel Demand,LIGHT,SWEET,3.333615134,19.43860742,1.059632087,6.097122908,0,4.70716298,34.63614053
2019,HIGH,Low Fuel Demand,LIGHT,SWEET,3.333615134,19.43860742,1.059632087,6.097122908,0,4.70716298,34.63614053
2035,LOW,High Fuel Demand,LIGHT,SWEET,3.317171292,21.73030354,1.688770212,3.441316439,0,4.278249131,34.45581061
2035,MEDIUM,Medium Fuel Demand,LIGHT,SWEET,3.278322706,20.98744715,1.657250655,3.834632598,0,4.22101786,33.97867097
2035,HIGH,Low Fuel Demand,LIGHT,SWEET,3.225903708,21.85717723,1.644887347,3.041150662,0,3.616363539,33.38548249
2050,LOW,High Fuel Demand,LIGHT,SWEET,3.311355106,21.99239153,1.698074126,3.139799218,0,4.324870079,34.46649006
2050,MEDIUM,Medium Fuel Demand,LIGHT,SWEET,3.343305421,21.93881564,1.519690212,3.058813597,0,4.073552904,33.93417778
2050,HIGH,Low Fuel Demand,LIGHT,SWEET,3.209467112,21.29294648,1.653235566,3.011471583,0,3.417262157,32.58438289
