PADD,YEAR,SCENARIO,Blended Gasoline,Jet-A/AVTUR,ULSD,Fuel Oil,Coke,Liquid Heavy Ends,Liquified Petroleum Gas (LPG),Lube
1,2035,LOW,405.2219294,30.3783714,113.9807328,40.16501424,46.2027407,0,52.41611771,3.74394864
1,2050,LOW,377.7793292,29.4720107,122.8158119,43.27835691,54.86772637,0,64.17275571,3.814849996
1,2035,MEDIUM,276.610167,37.70689157,104.0981804,36.68255851,46.2027407,0,49.16041488,3.74394864
1,2050,MEDIUM,175.9510943,46.48759887,99.6704607,35.12229984,54.86772637,0,53.49743166,3.814849996
1,2035,HIGH,255.8384038,37.70689157,93.71454831,33.02353016,46.2027407,0,43.30419712,3.74394864
1,2050,HIGH,94.37656081,46.48759887,69.98277955,24.66082879,54.86772637,0,34.70243305,3.814849996
2,2035,LOW,852.255757,72.31291931,442.08696,27.1869827,15.0803823,10.70295106,108.9488121,3.27676489
2,2050,LOW,797.5785797,71.23210534,465.7495727,28.64216031,17.96733925,12.75190171,133.6941739,3.338818912
2,2035,MEDIUM,584.2206704,88.76169718,411.8608036,25.32816743,15.0803823,10.70295106,102.8728457,3.27676489
2,2050,MEDIUM,376.2887422,109.4233942,392.7410991,24.15236466,17.96733925,12.75190171,113.977189,3.338818912
2,2035,HIGH,539.8178647,88.76169718,371.9553554,22.87410561,15.0803823,10.70295106,90.53958075,3.27676489
2,2050,HIGH,202.8322415,109.4233942,277.1143191,17.04167479,17.96733925,12.75190171,74.80025489,3.338818912
3,2035,LOW,1161.835139,249.7577623,875.0750128,620.7479757,82.8668454,15.36825136,36.96836728,4.646046672
3,2050,LOW,1095.536694,232.7581099,927.9420618,658.2500335,98.3039483,18.23117291,45.36274962,4.734031588
3,2035,MEDIUM,803.4044622,318.8428351,819.9820278,581.6669159,82.8668454,15.36825136,34.89480076,4.646046672
3,2050,MEDIUM,528.4531155,393.1620006,789.6500786,560.1504792,98.3039483,18.23117291,38.63037149,4.734031588
3,2035,HIGH,741.2130584,318.8428351,738.1139197,523.592509,82.8668454,15.36825136,30.70960591,4.646046672
3,2050,HIGH,287.4644655,393.1620006,553.3624649,392.5362111,98.3039483,18.23117291,25.32989468,4.734031588
4,2035,LOW,122.5528377,7.462099114,62.05233467,14.99038234,1.677526373,0.783363957,56.03135148,0
4,2050,LOW,115.5311375,7.102883644,65.35677289,15.78865678,2.003625453,0.935644285,68.56152228,0
4,2035,MEDIUM,84.66594065,9.388619941,57.49989496,13.89062015,1.677526373,0.783363957,52.44168091,0
4,2050,MEDIUM,55.43433952,11.57594017,53.98606995,13.0417628,2.003625453,0.935644285,56.76019059,0
4,2035,HIGH,78.12595782,9.388619941,51.84914501,12.52553207,1.677526373,0.783363957,46.19575139,0
4,2050,HIGH,30.0346117,11.57594017,37.63996814,9.092929651,2.003625453,0.935644285,36.65349721,0
5,2035,LOW,550.1821421,92.76547105,296.0767522,155.5251992,129.1368521,9.622822554,21.25470746,9.220321463
5,2050,LOW,515.5667685,85.46089746,316.5281846,166.268066,153.2174636,11.41722475,26.02820605,9.394932109
5,2035,MEDIUM,377.955149,119.3415502,273.166311,143.4906477,129.1368521,9.622822554,19.9438851,9.220321463
5,2050,MEDIUM,244.0627572,147.1660723,260.7013277,136.942957,153.2174636,11.41722475,21.73314648,9.394932109
5,2035,HIGH,349.2152027,119.3415502,245.3776241,128.8936183,129.1368521,9.622822554,17.56505323,9.220321463
5,2050,HIGH,131.8611613,147.1660723,182.8189715,96.03238604,153.2174636,11.41722475,14.10456209,9.394932109
1,2019,LOW,1195.516,36.54,96.488,17.37,9.852,14.303,11.607,4.651
2,2019,LOW,949.766,101.478,416.382,16.214,65.47,68.955,40.86,2.089
3,2019,LOW,857.236,344.152,962.391,164.666,169.04,146.247,149.156,48.048
4,2019,LOW,113.62,12.203,76.667,5.135,9.193,15.371,3.539,0
5,2019,LOW,573.081,165.054,200.812,50.723,54.489,14.522,15.96,6.089
1,2019,MEDIUM,1195.516,36.54,96.488,17.37,9.852,14.303,11.607,4.651
2,2019,MEDIUM,949.766,101.478,416.382,16.214,65.47,68.955,40.86,2.089
3,2019,MEDIUM,857.236,344.152,962.391,164.666,169.04,146.247,149.156,48.048
4,2019,MEDIUM,113.62,12.203,76.667,5.135,9.193,15.371,3.539,0
5,2019,MEDIUM,573.081,165.054,200.812,50.723,54.489,14.522,15.96,6.089
1,2019,HIGH,1195.516,36.54,96.488,17.37,9.852,14.303,11.607,4.651
2,2019,HIGH,949.766,101.478,416.382,16.214,65.47,68.955,40.86,2.089
3,2019,HIGH,857.236,344.152,962.391,164.666,169.04,146.247,149.156,48.048
4,2019,HIGH,113.62,12.203,76.667,5.135,9.193,15.371,3.539,0
5,2019,HIGH,573.081,165.054,200.812,50.723,54.489,14.522,15.96,6.089
U.S.,2019,LOW,3689.219,659.427,1752.74,254.108,308.044,259.398,221.122,60.877
U.S.,2019,MEDIUM,3689.219,659.427,1752.74,254.108,308.044,259.398,221.122,60.877
U.S.,2019,HIGH,3689.219,659.427,1752.74,254.108,308.044,259.398,221.122,60.877
U.S.,2035,LOW,3092.047806,452.6766231,1789.271792,858.6155542,274.9643469,36.47738893,275.619356,20.88708167
U.S.,2035,MEDIUM,2126.856389,574.041594,1666.607218,801.0589098,274.9643469,36.47738893,259.3136274,20.88708167
U.S.,2035,HIGH,1964.210487,574.041594,1501.010592,720.9092951,274.9643469,36.47738893,228.3141884,20.88708167
U.S.,2050,LOW,2901.992509,426.0260071,1898.392404,912.2272735,326.360103,43.33594365,337.8194076,21.2826326
U.S.,2050,MEDIUM,1380.190049,707.8150061,1596.749036,769.4098635,326.360103,43.33594365,284.5983292,21.2826326
U.S.,2050,HIGH,746.5690408,707.8150061,1120.918503,539.3640304,326.360103,43.33594365,185.5906419,21.2826326
