Year,Scenario,Crude Quality,No Carbon Capture,Max Carbon Capture,Min Carbon Capture,Net Zero 2035,Net Zero 2050
2019,LOW,HEAVY/SOUR,212.4247864,86.89497643,201.9929512,201.9929512,201.9929512
2019,MEDIUM,HEAVY/SOUR,212.4247864,86.89497643,201.9929512,201.9929512,201.9929512
2019,HIGH,HEAVY/SOUR,212.4247864,86.89497643,201.9929512,201.9929512,201.9929512
2035,LOW,HEAVY/SOUR,207.9243412,87.63479888,198.0600878,0,100.9964756
2050,LOW,HEAVY/SOUR,210.5652395,88.50324176,199.6597653,0,0
2035,MEDIUM,HEAVY/SOUR,173.8596387,73.17865767,165.3393444,0,100.9964756
2050,MEDIUM,HEAVY/SOUR,153.7493459,65.73519542,146.9420755,0,0
2035,HIGH,HEAVY/SOUR,158.1636483,67.04068475,150.9322032,0,100.9964756
2050,HIGH,HEAVY/SOUR,111.4824125,47.55662418,106.3842072,0,0
2019,LOW,LIGHT/SWEET,212.4247864,86.89497643,201.9929512,201.9929512,201.9929512
2019,MEDIUM,LIGHT/SWEET,212.4247864,86.89497643,201.9929512,201.9929512,201.9929512
2019,HIGH,LIGHT/SWEET,212.4247864,86.89497643,201.9929512,201.9929512,201.9929512
2035,LOW,LIGHT/SWEET,198.2974244,83.50486,189.3947598,0,100.9964756
2050,LOW,LIGHT/SWEET,204.0228014,85.75263707,194.7410482,0,0
2035,MEDIUM,LIGHT/SWEET,167.8243475,70.8161251,160.2900498,0,100.9964756
2050,MEDIUM,LIGHT/SWEET,151.3399924,64.30941204,144.953145,0,0
2035,HIGH,LIGHT/SWEET,152.2916152,64.912872,146.5601579,0,100.9964756
2050,HIGH,LIGHT/SWEET,104.6115523,44.82219665,100.8192797,0,0
